,id,lat,lon
955,89089968d9bffff,60.24613118,24.75614313
956,89089968d9bffff,60.24613118,24.75614313
957,89089968d9bffff,60.24613118,24.75614313
958,89089968da3ffff,60.25460419,24.76793197
959,89089968da7ffff,60.25731822,24.77014924
960,89089968da7ffff,60.25731822,24.77014924
961,89089968da7ffff,60.25731822,24.77014924
962,89089968da7ffff,60.25731822,24.77014924
963,89089968da7ffff,60.25731822,24.77014924
964,89089968dabffff,60.25222095,24.77085602
965,89089968dabffff,60.25222095,24.77085602
966,89089968db3ffff,60.25427325,24.76279088
967,89089968db3ffff,60.25427325,24.76279088
968,89089968db3ffff,60.25427325,24.76279088
969,89089968db3ffff,60.25427325,24.76279088
970,89089968db3ffff,60.25427325,24.76279088
971,89089968db3ffff,60.25427325,24.76279088
972,89089968db3ffff,60.25427325,24.76279088
973,89089968db3ffff,60.25427325,24.76279088
974,89089968db3ffff,60.25427325,24.76279088
975,89089968db3ffff,60.25427325,24.76279088
976,89089968db3ffff,60.25427325,24.76279088
977,89089968db3ffff,60.25427325,24.76279088
978,89089968db3ffff,60.25427325,24.76279088
979,89089968db3ffff,60.25427325,24.76279088
980,89089968db3ffff,60.25427325,24.76279088
981,89089968dc3ffff,60.24136501,24.7619904
982,89089968dc7ffff,60.24407899,24.7642062
983,89089968dc7ffff,60.24407899,24.7642062
984,89089968dc7ffff,60.24407899,24.7642062
985,89089968dc7ffff,60.24407899,24.7642062
986,89089968dd7ffff,60.24374817,24.75906692
987,89089968dd7ffff,60.24374817,24.75906692
988,89089968dd7ffff,60.24374817,24.75906692
989,89089968dd7ffff,60.24374817,24.75906692
990,89089968dd7ffff,60.24374817,24.75906692
991,89089968ddbffff,60.23865105,24.759775
992,89089968ddbffff,60.23865105,24.759775
993,89089968e03ffff,60.21143927,24.7765028
994,89089968e13ffff,60.21110974,24.77136769
995,89089968e13ffff,60.21110974,24.77136769
996,89089968e17ffff,60.21382353,24.77358248
997,89089968e1bffff,60.20872551,24.77428786
998,89089968e23ffff,60.21719616,24.78607044
999,89089968e23ffff,60.21719616,24.78607044
1000,89089968e23ffff,60.21719616,24.78607044
1001,89089968e23ffff,60.21719616,24.78607044
1002,89089968e23ffff,60.21719616,24.78607044
1003,89089968e23ffff,60.21719616,24.78607044
1004,89089968e23ffff,60.21719616,24.78607044
1005,89089968e23ffff,60.21719616,24.78607044
1006,89089968e2bffff,60.21481154,24.78899054
1007,89089968e2bffff,60.21481154,24.78899054
1008,89089968e2bffff,60.21481154,24.78899054
1009,89089968e2bffff,60.21481154,24.78899054
1010,89089968e2bffff,60.21481154,24.78899054
1011,89089968e37ffff,60.21958063,24.78315001
1012,89089968e37ffff,60.21958063,24.78315001
1013,89089968e37ffff,60.21958063,24.78315001
1014,89089968e37ffff,60.21958063,24.78315001
1015,89089968e37ffff,60.21958063,24.78315001
1016,89089968e3bffff,60.21448239,24.78385415
1017,89089968e3bffff,60.21448239,24.78385415
1018,89089968e3bffff,60.21448239,24.78385415
1019,89089968e3bffff,60.21448239,24.78385415
1020,89089968e3bffff,60.21448239,24.78385415
1021,89089968e8bffff,60.21078003,24.76623295
1022,89089968e8bffff,60.21078003,24.76623295
1023,89089968e8fffff,60.21349383,24.76844719
1024,89089968e8fffff,60.21349383,24.76844719
1025,89089968e8fffff,60.21349383,24.76844719
1026,89089968e8fffff,60.21349383,24.76844719
1027,89089968e8fffff,60.21349383,24.76844719
1028,89089968e93ffff,60.21283389,24.75817772
